Geo Point;Geo Shape;gid;geom_o;geom_err;ident;id_local;condition_acces;puissance_nominale;actif;prise_type_ef;prise_type_2;prise_type_combo;prise_type_chademo;prise_type_3c;prise_type_autre;reservation;gratuit;paiement_acte;paiement_cb;paiement_autre;tarification;accessibilite_pmr;rs_st_irve_sta_p;cdate;mdate
44.7820995,-0.6536641;"{""coordinates"": [-0.6536641, 44.7820995], ""type"": ""Point""}";1010;0;;FRFR1ENMLT1;NMLT1;ACCES_LIBRE;50.0;1;0;1;1;0;0;0;0;0;1;0;1;OUI;ACCESSIBILITE_INCONNUE;1354;2021-11-08T15:45:40+01:00;2021-11-24T16:04:52+01:00
44.8413772,-0.5609918;"{""coordinates"": [-0.5609918, 44.8413772], ""type"": ""Point""}";1014;0;;FRFR1EKBEE1;KBEE1;ACCES_LIBRE;50.0;1;0;1;1;0;0;0;0;0;1;0;1;OUI;ACCESSIBILITE_INCONNUE;1355;2021-11-08T15:45:40+01:00;2021-11-24T16:04:52+01:00
44.8413772,-0.5609918;"{""coordinates"": [-0.5609918, 44.8413772], ""type"": ""Point""}";1015;0;;FRFR1EKBEE2;KBEE2;ACCES_LIBRE;3.0;1;1;0;0;0;0;0;0;0;1;0;1;OUI;ACCESSIBILITE_INCONNUE;1355;2021-11-08T15:45:40+01:00;2021-11-24T16:04:52+01:00
44.8413772,-0.5609918;"{""coordinates"": [-0.5609918, 44.8413772], ""type"": ""Point""}";1016;0;;FRFR1EJYRU1;JYRU1;ACCES_LIBRE;50.0;1;0;1;0;1;0;0;0;0;1;0;1;OUI;ACCESSIBILITE_INCONNUE;1355;2021-11-08T15:45:40+01:00;2021-11-24T16:04:52+01:00
44.8324687,-0.6102935;"{""coordinates"": [-0.6102935, 44.8324687], ""type"": ""Point""}";1025;0;;FRFR1EKAQS2;KAQS2;ACCES_LIBRE;3.0;1;1;0;0;0;0;0;0;0;1;0;1;OUI;ACCESSIBILITE_INCONNUE;1358;2021-11-08T15:45:40+01:00;2021-11-24T16:04:52+01:00
44.8324687,-0.6102935;"{""coordinates"": [-0.6102935, 44.8324687], ""type"": ""Point""}";1027;0;;FRFR1EJWKN2;JWKN2;ACCES_LIBRE;3.0;1;1;0;0;0;0;0;0;0;1;0;1;OUI;ACCESSIBILITE_INCONNUE;1358;2021-11-08T15:45:40+01:00;2021-11-24T16:04:52+01:00
44.8422988,-0.569778;"{""coordinates"": [-0.569778, 44.8422988], ""type"": ""Point""}";1032;0;;;;ACCES_RESERVE;;1;;;;;;;0;1;0;0;0;Accès parking payant;ACCESSIBILITE_INCONNUE;1359;2021-11-08T15:45:40+01:00;2021-11-24T16:04:52+01:00
44.8290717,-0.5628913;"{""coordinates"": [-0.5628913, 44.8290717], ""type"": ""Point""}";1037;0;;;;ACCES_RESERVE;;1;;;;;;;0;1;0;0;0;Accès parking payant;ACCESSIBILITE_INCONNUE;1360;2021-11-08T15:45:40+01:00;2021-11-24T16:04:52+01:00
44.8447169,-0.5782772;"{""coordinates"": [-0.5782772, 44.8447169], ""type"": ""Point""}";836;0;;FRFR1EKAHM1;KAHM1;ACCES_LIBRE;30.0;1;0;1;1;0;0;0;0;0;1;0;1;OUI;ACCESSIBILITE_INCONNUE;1342;2021-11-08T15:45:40+01:00;2022-03-01T17:27:11+01:00
44.8401979,-0.5560698;"{""coordinates"": [-0.5560698, 44.8401979], ""type"": ""Point""}";849;0;;FRFR1EKAQX2;KAQX2;ACCES_LIBRE;3.0;1;1;0;0;0;0;0;0;0;1;0;1;OUI;ACCESSIBILITE_INCONNUE;1345;2021-11-08T15:45:40+01:00;2021-11-24T16:04:52+01:00
